#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
5000,120.00000000005473,-517096.1908194637,302.53008191508053,1.0249696794965515,--
10000,140.00000000003652,-517933.60099187517,301.27192122333287,1.028177893448602,102
15000,159.9999999999899,-518094.11739228526,305.4450876870538,1.0273197726647976,102
20000,179.9999999999433,-518826.0941384069,299.57148751872273,1.0271479541180093,102
25000,199.9999999998967,-517940.68785302946,299.9330989020653,1.0258911925630516,102
30000,219.99999999985008,-516769.7604273916,300.24416450710487,1.0246504421531855,102
35000,239.99999999980346,-516820.8581115594,302.7472046394843,1.0253232092515505,102
40000,259.99999999978525,-515796.67713820306,301.8510832397964,1.022122898346479,102
45000,279.99999999988074,-517740.20881859516,298.8399931370143,1.0251301130131267,102
50000,299.99999999997624,-517992.4724336569,300.9143433513134,1.0271474753396792,102
55000,320.00000000007174,-518094.8288727144,301.979522947756,1.0261078623266722,102
60000,340.00000000016723,-517436.1682441542,300.2638593918044,1.025048246105776,102
65000,360.00000000026273,-516899.7447159556,299.819636187351,1.0258801444821806,102
70000,380.0000000003582,-517521.3539948396,302.425923536862,1.0262103527317459,102
75000,400.0000000004537,-517591.2164815308,299.21084213335604,1.0265464339969153,102
80000,420.0000000005492,-517671.46959528676,300.52835931683364,1.027597257659649,102
85000,440.0000000006447,-517818.034825512,301.26188298787514,1.0271996368315681,102
90000,460.0000000007402,-516465.17270152736,301.78455776921555,1.024230830503156,102
95000,480.0000000008357,-517733.131889079,298.7186631134407,1.0273639987252974,102
100000,500.0000000009312,-517803.9961681196,302.074671563834,1.0227522868698724,102
105000,520.0000000010267,-517005.0838419497,301.16978592683745,1.0246223346298018,102
110000,540.0000000011222,-516913.49832584313,302.7593905691137,1.0283140843172975,102
115000,560.0000000012177,-517617.1691044853,301.41864632973807,1.0288154562594594,102
120000,580.0000000013132,-517715.1529443222,301.12993793472896,1.0230754596850569,102
125000,600.0000000014087,-516432.6901603108,299.7663615039987,1.02499410092486,102
130000,620.0000000015042,-517038.89104688517,300.94511643306345,1.0236032355558815,102
135000,640.0000000015997,-517472.4155540047,302.62755782838366,1.0226209388679677,102
140000,660.0000000016952,-517805.00121005625,302.58577979043247,1.024602880960231,102
145000,680.0000000017907,-517582.1271600381,303.7310625368391,1.028446744486175,102
150000,700.0000000018862,-515654.28809549264,302.5805665406558,1.0226844705606954,102
155000,720.0000000019817,-517165.82501281286,301.66871343103253,1.0236281145959418,102
160000,740.0000000020772,-516949.63695924846,303.9907825071913,1.0252746341172092,102
165000,760.0000000021727,-517721.60085940734,301.67794028118254,1.0254873044679582,102
170000,780.0000000022682,-516849.46502803755,300.36676724929555,1.0256672100185409,102
175000,800.0000000023637,-516746.70634464244,301.58409113785075,1.0264159785061182,102
180000,820.0000000024592,-517075.9711643737,300.4681908793134,1.0212851434245829,102
185000,840.0000000025547,-517096.7212370357,299.6597159204525,1.0244060625377285,102
190000,860.0000000026502,-516621.8220230397,300.2439652431291,1.0249073753661793,102
195000,880.0000000027457,-517593.86858834024,303.63739686588985,1.0302629283675386,102
200000,900.0000000028411,-517144.5040639376,301.78512617131304,1.0263637775852363,102
205000,920.0000000029366,-517106.67019557394,300.45999309688176,1.0237302886796864,102
210000,940.0000000030321,-516020.3909050394,301.64384208357905,1.0247037221743722,102
215000,960.0000000031276,-517510.46602911595,300.9560120931125,1.0242381869350503,102
220000,980.0000000032231,-516612.8670234205,297.13375698780874,1.022793371980449,102
225000,1000.0000000033186,-516375.64881483885,299.2885040038614,1.0228394095126743,102
230000,1020.0000000034141,-517558.6114003991,297.5103613799257,1.0234913975923698,102
235000,1040.0000000030548,-517363.35827305936,300.0636313562171,1.0286731250449261,102
240000,1060.0000000025818,-517630.02226649644,300.4032920427248,1.026061463826394,102
245000,1080.000000002109,-518509.74357433384,299.8969605393092,1.0293257569979892,102
250000,1100.000000001636,-516961.4701351179,301.10917568474787,1.0266041787669538,102
255000,1120.000000001163,-517781.96489423583,301.3373283177866,1.0288362051434126,102
260000,1140.00000000069,-517554.04052078817,301.7812564459709,1.0275726437910027,102
265000,1160.0000000002171,-516901.9721384444,302.65884837294743,1.0234782387966908,102
270000,1179.9999999997442,-518327.0630823348,298.1241960223475,1.0271302744196118,102
275000,1199.9999999992713,-518576.1915623897,302.2927352304137,1.0263088560899205,102
280000,1219.9999999987983,-518043.13396440144,299.7737519432569,1.0267528012218583,102
285000,1239.9999999983254,-516568.00620030146,302.16276813330654,1.0272213489677215,102
290000,1259.9999999978525,-516698.98083835444,301.20191832074937,1.0234996933145613,102
295000,1279.9999999973795,-516689.57549252384,302.5035932278791,1.0237106342361464,102
300000,1299.9999999969066,-517675.0195321159,303.29850117858564,1.0261357213955675,102
305000,1319.9999999964336,-516833.8990869629,299.5119305766702,1.0252063803088989,102
310000,1339.9999999959607,-517073.1417664157,300.0823404635692,1.0250703819589304,102
315000,1359.9999999954878,-516359.59925185423,302.9906360346206,1.0263845710627053,102
320000,1379.9999999950148,-517388.48058325285,300.83926675668437,1.0289590710065144,102
325000,1399.999999994542,-517968.5462020105,299.69818294583376,1.028020135207105,102
330000,1419.999999994069,-516834.82088339026,300.1823199838308,1.0282316569030878,102
335000,1439.999999993596,-519169.8759708074,300.316071602394,1.02665454034329,102
340000,1459.999999993123,-516862.10341228195,299.49566797866106,1.0262103843188257,102
345000,1479.9999999926501,-517709.10189443314,304.899356643089,1.023430024366938,102
350000,1499.9999999921772,-516726.9162326094,301.32068020186034,1.0258853753107489,102
355000,1519.9999999917043,-516441.4306415105,299.38521781669886,1.0273661659620321,102
360000,1539.9999999912313,-518015.93784945225,299.98237687626704,1.0204620084082539,102
365000,1559.9999999907584,-517001.8520018344,302.63910323699224,1.0268397666049454,102
370000,1579.9999999902855,-519268.3454534202,300.62180237607834,1.0301575664685239,102
375000,1599.9999999898125,-517055.40638943575,300.9082617020765,1.0248218558028868,102
380000,1619.9999999893396,-518148.01815111376,303.774332989051,1.021288598345387,102
385000,1639.9999999888666,-517476.1697519601,298.3680821129491,1.0256778858835,102
390000,1659.9999999883937,-518903.02391500096,298.56626856582807,1.0291343286424024,102
395000,1679.9999999879208,-517519.80469573755,301.67289155775876,1.0238500087595088,102
400000,1699.9999999874478,-518177.47305085603,298.29849364952827,1.0270212627471447,102
405000,1719.999999986975,-516247.8086594662,302.38941360256905,1.0240943510509801,102
410000,1739.999999986502,-516478.7584033045,300.57013260179406,1.023869410463878,102
415000,1759.999999986029,-517358.69360822043,301.33561386421053,1.0262144770151864,102
420000,1779.999999985556,-517614.4023463633,301.0288128679349,1.0227579693047337,102
425000,1799.9999999850832,-517302.5284822562,298.85603296996027,1.0253152850622034,102
430000,1819.9999999846102,-517730.57260442874,300.377767220449,1.0267268448785565,102
435000,1839.9999999841373,-516992.82046742574,301.46800778871966,1.027809686335299,102
440000,1859.9999999836643,-517592.7790960469,300.9768933824487,1.0232972481344318,102
445000,1879.9999999831914,-517452.90543723595,300.9151238826644,1.0237600344806046,102
450000,1899.9999999827185,-518067.3200622988,301.19054971260834,1.0244300708490677,102
455000,1919.9999999822455,-516662.89029553276,300.5096161299449,1.0248631933706525,102
460000,1939.9999999817726,-517175.83417089516,302.8729710045603,1.024733765401194,102
465000,1959.9999999812997,-516929.6483881918,299.53517492211864,1.0248509912980845,102
470000,1979.9999999808267,-517714.61852183077,300.15832421467474,1.0269355869918424,102
475000,1999.9999999803538,-517652.4390174502,299.80814486702883,1.0258444223383778,102
480000,2019.9999999798808,-517545.71848461335,300.93642504438816,1.026347688979476,102
485000,2039.999999979408,-516988.9172486323,301.4254989233348,1.0245782016052634,102
490000,2059.999999978935,-517549.91831882694,300.44902040629415,1.023228718886702,102
495000,2079.9999999784623,-518525.63712805137,304.0553843446264,1.0268409436523431,102
500000,2099.9999999779893,-517618.05354519165,299.6429350170251,1.028619388896818,102
505000,2119.9999999775164,-516931.530704441,302.0166480630699,1.0258093789852383,102
510000,2139.9999999770434,-518328.5645033764,302.16122928266634,1.0313176197701308,102
515000,2159.9999999765705,-518504.4788339732,300.46749081426617,1.0247067593537604,102
520000,2179.9999999760976,-516962.452960456,297.9308778643296,1.0262712015958746,102
525000,2199.9999999756246,-516842.2200568074,301.09131564813845,1.0283051102720353,102
530000,2219.9999999751517,-517013.82746083266,303.50676228016874,1.0271368277382018,102
535000,2239.9999999746788,-517286.56134772324,301.5063595256602,1.0245163006971567,102
540000,2259.999999974206,-517753.1319010686,301.4702057149735,1.027231504850738,102
545000,2279.999999973733,-517828.3515779886,301.1225064726865,1.0273181113972958,102
550000,2299.99999997326,-516890.5071797103,300.85139737560394,1.0236267216437078,102
555000,2319.999999972787,-516495.90930407913,300.04896190483333,1.0262034278483345,102
560000,2339.999999972314,-518338.609754903,301.2229838023695,1.0307506660433627,102
565000,2359.999999971841,-517135.17240133625,301.3664568217396,1.0231812843231343,102
570000,2379.999999971368,-516653.1234767658,300.9589271702565,1.0256121727710639,102
575000,2399.9999999708953,-515087.5623816538,301.61456862152284,1.0220981992083409,102
580000,2419.9999999704223,-515857.52145102737,300.4942838615401,1.0227632991656732,102
585000,2439.9999999699494,-518165.4468515804,302.1300315565435,1.0287383780910162,102
590000,2459.9999999694764,-517846.0162768527,300.9721172088818,1.026956242336907,102
595000,2479.9999999690035,-518934.4099060646,300.3018944388272,1.032115465857858,102
600000,2499.9999999685306,-517681.537276922,303.6620720588504,1.0246977048224426,102
605000,2519.9999999680576,-517936.22751647444,301.040925861452,1.0262160824775135,102
610000,2539.9999999675847,-518307.49571217573,299.6979337621901,1.025717876094999,102
615000,2559.9999999671118,-516194.6716517864,300.0472229448508,1.0270454549583257,102
